steps;acdc_2_layers;acdc_4_layers;circ_2_layers
3710;2.1743;1.386;1.296
3720;2.2914;1.4461;1.3424
3730;2.1652;1.3934;1.2869
3740;2.423;1.4348;1.3475
3750;2.289;1.4335;1.3199
3760;2.2433;1.4217;1.3096
3770;2.0303;1.3924;1.2826
3780;2.1382;1.4468;1.317
3790;2.1126;1.4867;1.3835
3800;2.1679;1.4125;1.3038
3810;2.1708;1.3897;1.2959
3820;2.2763;1.4548;1.3423
3830;2.1516;1.3926;1.2868
3840;2.4161;1.4429;1.3474
3850;2.2736;1.4231;1.3199
3860;2.2396;1.4243;1.3095
3870;2.0355;1.3824;1.2825
3880;2.1339;1.4436;1.317
3890;2.1001;1.4961;1.3834
3900;2.1575;1.4038;1.3037
3910;2.1616;1.3905;1.2958
3920;2.2629;1.4468;1.3422
3930;2.1529;1.3844;1.2867
3940;2.4057;1.4344;1.3473
3950;2.2743;1.4227;1.3198
3960;2.2335;1.4105;1.3094
3970;2.0108;1.3874;1.2824
3980;2.1255;1.4327;1.317
3990;2.097;1.4971;1.3833
4000;2.1468;1.4034;1.3037
4010;2.1545;1.3765;1.2958
4020;2.2596;1.4226;1.3421
4030;2.1368;1.3918;1.2867
4040;2.3889;1.4282;1.3473
4050;2.2633;1.4213;1.3198
4060;2.2174;1.4044;1.3094
4070;2.0042;1.3753;1.2824
4080;2.1136;1.4325;1.3169
4090;2.0963;1.4873;1.3832
4100;2.1415;1.4085;1.3036
4110;2.1433;1.3827;1.2957
4120;2.2518;1.4275;1.342
4130;2.1326;1.377;1.2866
4140;2.3937;1.431;1.3472
4150;2.262;1.4268;1.3198
4160;2.2105;1.4142;1.3093
4170;2.006;1.3753;1.2823
4180;2.1116;1.4506;1.3169
4190;2.0794;1.4893;1.3831
4200;2.1287;1.4033;1.3036
4210;2.1393;1.3827;1.2957
4220;2.2398;1.4437;1.3419
4230;2.1242;1.3798;1.2865
4240;2.3747;1.4328;1.3471
4250;2.2502;1.4107;1.3197
4260;2.2037;1.4032;1.3093
4270;1.9968;1.3616;1.2822
4280;2.1013;1.432;1.3168
4290;2.083;1.4806;1.3831
4300;2.1174;1.3986;1.3035
4310;2.139;1.3756;1.2956
4320;2.2353;1.4283;1.3419
4330;2.1113;1.3694;1.2864
4340;2.3661;1.4273;1.3471
4350;2.2378;1.4119;1.3197
4360;2.1867;1.4035;1.3092
4370;1.9833;1.3586;1.2821
4380;2.1001;1.4382;1.3168
4390;2.084;1.4777;1.383
4400;2.1089;1.3961;1.3034
4410;2.1289;1.3695;1.2956
4420;2.229;1.4205;1.3418
4430;2.1031;1.3871;1.2864
4440;2.362;1.4164;1.347
4450;2.2392;1.4167;1.3197
4460;2.1877;1.3983;1.3091
4470;1.9766;1.367;1.2821
4480;2.0891;1.4242;1.3168
4490;2.0616;1.4862;1.3829
4500;2.0991;1.3937;1.3034
4510;2.1215;1.3745;1.2955
4520;2.2179;1.4217;1.3417
4530;2.0957;1.3687;1.2863
4540;2.3511;1.4156;1.3469
4550;2.2175;1.4086;1.3196
4560;2.1872;1.3987;1.3091
4570;1.9693;1.3608;1.282
4580;2.0902;1.4236;1.3167
4590;2.0605;1.476;1.3828
4600;2.0878;1.3887;1.3033
4610;2.1187;1.3633;1.2955
4620;2.2192;1.412;1.3416
4630;2.0899;1.3705;1.2862
4640;2.3374;1.4227;1.3469
4650;2.2134;1.4072;1.3196
4660;2.1689;1.3935;1.309
4670;1.9761;1.363;1.2819
4680;2.0771;1.4133;1.3167
4690;2.0435;1.4725;1.3828
4700;2.0906;1.3971;1.3033
4710;2.1151;1.3667;1.2954
4720;2.2155;1.416;1.3415
4730;2.0818;1.3608;1.2862
4740;2.3334;1.4253;1.3468
4750;2.2109;1.3972;1.3196
4760;2.165;1.3862;1.309
4770;1.973;1.3515;1.2819
4780;2.0669;1.4154;1.3167
4790;2.0412;1.4784;1.3827
4800;2.0753;1.3842;1.3032
4810;2.102;1.3625;1.2954
4820;2.2027;1.4077;1.3414
4830;2.0753;1.366;1.2861
4840;2.3288;1.4064;1.3467
4850;2.2063;1.4052;1.3195
4860;2.1559;1.3816;1.3089
4870;1.9589;1.3631;1.2818
4880;2.0631;1.4159;1.3166
4890;2.0348;1.4697;1.3826
4900;2.0693;1.3819;1.3032
4910;2.1039;1.3572;1.2953
4920;2.1948;1.4099;1.3413
4930;2.0695;1.3629;1.286
4940;2.3184;1.4141;1.3467
4950;2.1887;1.3983;1.3195
4960;2.1557;1.3871;1.3088
4970;1.9483;1.3463;1.2817
4980;2.0489;1.4159;1.3166
4990;2.0335;1.4665;1.3825
5000;2.0584;1.3787;
